Generation,Id,Score,Motor,Neutral,Amplitude
0,0,0.5592845755633539,0.8084565792887376,0.840747225844169,0.7928794443579447
0,1,0.5618170201384921,0.5621626003673763,0.5266329816821783,0.6856459104778709
0,2,0.5684800731571095,0.9045220541426009,0.3138054694704961,0.7992113805846595
0,3,0.5691303006659032,0.4957445442833655,0.7483644088054417,0.17800371677886695
0,4,0.5805141892883191,0.44057657823136054,0.4901440768790677,0.7071040221096785
0,5,0.5852889202814883,0.3837983089223189,0.6178829782739318,0.576876823906135
0,6,0.586744427739099,0.7150946342028442,0.13491380745511067,0.5359442909024151
0,7,0.5877171913627153,0.3780751109499899,0.8875767413971936,0.8773878449401955
0,8,0.5983372864902183,0.09643234555665764,0.6340264574287291,0.6621806338463267
0,9,0.5999921596258986,0.013634115566420135,0.9172792039064399,0.9974678168397471
1,0,0.5516840073399157,0.9073906551994956,0.828146798730726,0.638651825446118
1,1,0.5550902578060661,0.8884034999132376,0.7826923140868379,0.636039789357532
1,2,0.557074359236613,0.9170577173783879,0.6410764695527624,0.8154487901356311
1,3,0.5668858648666385,0.7291287513747632,0.6403261882659907,0.7931988898129033
1,4,0.5681786035438965,0.8491685469253653,0.7886108797524266,0.2767980766369297
1,5,0.5711577938444082,0.4972038093783832,0.7349252167824777,0.34276816421210954
1,6,0.5726760362915035,0.7525962971460091,0.3310714580641822,0.8271307477683605
1,7,0.5749004660592737,0.6947682023174968,0.6222348176703142,0.5546088160571598
1,8,0.5775012978655761,0.732464108707454,0.5154244316501893,0.5063338060713725
1,9,0.5777467060634077,0.7251801717405255,0.484559177307348,0.15498041625665387
2,0,0.5619704606491293,0.46358169969820684,0.5844674424478677,0.7234651847290663
2,1,0.5657058227577063,0.3004971817017089,0.6770148401354057,0.3129334470976445
2,2,0.566016545955866,0.9855560382470063,0.2068256736112925,0.9809183257268221
2,3,0.5660365570452867,0.5687016199228918,0.8950243006684468,0.7519744106008961
2,4,0.5740357916593054,0.8401373115353696,0.651726547493052,0.03855513370763097
2,5,0.5817178566081372,0.26854123639165256,0.5236630160330195,0.6467623088187705
2,6,0.5864177216935914,0.1541745883716681,0.5622913943629155,0.2770992213748804
2,7,0.5884218733794132,0.33967454611545067,0.15171052312819688,0.5013474697023443
2,8,0.5939986284951174,0.09850709034774174,0.5037746393826729,0.7742512676411708
2,9,0.6058365091465807,0.12869901013334772,0.09084254410662701,0.363087316587529
3,0,0.5459233855875032,0.9412567700586092,0.8730881338252134,0.9672509903599343
3,1,0.548191828690472,0.8714691142639843,0.7915299979361103,0.1031464376616037
3,2,0.5537730553612927,0.9396421813030319,0.4032939590676407,0.9430997096383639
3,3,0.5549163641986494,0.9318970642636322,0.9767129895007112,0.7292740812566889
3,4,0.5620839866366629,0.8083666552677556,0.714963150618738,0.45893844196659955
3,5,0.5628739220182183,0.8849465901096226,0.5653561588081666,0.3434070774088898
3,6,0.5636781527162082,0.8503273884482924,0.8686875699052614,0.43348432261559156
