Generation,Id,Score,Motor,Neutral,Amplitude
0,0,0.5700254096795838,0.2570914694946633,0.7854543125637112,0.1730094957224721
0,1,0.5729800475300311,0.7886691204049541,0.8083825940506277,0.4125124587646107
0,2,0.5543865091871742,0.9847227610571964,0.6261044763932858,0.05337804054537787
0,3,0.5530386564716085,0.35913904477896486,0.8551790487556621,0.5068190987297981
0,4,0.5692479101219551,0.7032006008477307,0.9251949241771664,0.4895511435723079
0,5,0.5601597273049934,0.7817440398639548,0.08092215555898641,0.7604155658923102
0,6,0.5598429884064484,0.3982800629320181,0.560824429111848,0.6611667494665109
0,7,0.5744221525248405,0.21090657319862732,0.7339084484965377,0.770203246014536
0,8,0.5882558920209462,0.2238211802965076,0.3750327189219097,0.6469349876173418
0,9,0.5600207647689868,0.31294637509188883,0.8209483726041387,0.42361690574426175
0,0,0.5700254096795838,0.2570914694946633,0.7854543125637112,0.1730094957224721
0,1,0.5729800475300311,0.7886691204049541,0.8083825940506277,0.4125124587646107
0,2,0.5543865091871742,0.9847227610571964,0.6261044763932858,0.05337804054537787
0,3,0.5530386564716085,0.35913904477896486,0.8551790487556621,0.5068190987297981
0,4,0.5692479101219551,0.7032006008477307,0.9251949241771664,0.4895511435723079
0,5,0.5601597273049934,0.7817440398639548,0.08092215555898641,0.7604155658923102
0,6,0.5598429884064484,0.3982800629320181,0.560824429111848,0.6611667494665109
0,7,0.5744221525248405,0.21090657319862732,0.7339084484965377,0.770203246014536
0,8,0.5882558920209462,0.2238211802965076,0.3750327189219097,0.6469349876173418
0,9,0.5600207647689868,0.31294637509188883,0.8209483726041387,0.42361690574426175
1,0,0.5453019853670851,0.7087811329959763,0.8688239113626154,0.028992869244435615
1,1,0.5748326328262711,0.10205006455616067,0.23896514644243805,0.8201418454924414
1,2,0.5655502928997511,0.09060477332899652,0.7411294402515467,0.09277146023938254
1,3,0.567319453652771,0.209130412085284,0.7408078022470695,0.7335842734476536
1,4,0.5834685976333608,0.11141114407268055,0.7111330888195869,0.4787192578814939
1,5,0.546015813875773,0.8901473614041756,0.27926441310839173,0.7883821328993007
1,6,0.5635860533019705,0.5018237074890904,0.32271292513166056,0.4798185706965504
1,7,0.5773388573408273,0.24220117330817714,0.573551690060841,0.6056986172368162
1,8,0.533239986785646,0.9176437817771403,0.13831024824467741,0.9127899124725339
1,9,0.5528770279288108,0.6536133497429999,0.1615049269287926,0.9413446491541771
0,0,0.5700254096795838,0.2570914694946633,0.7854543125637112,0.1730094957224721
0,1,0.5729800475300311,0.7886691204049541,0.8083825940506277,0.4125124587646107
0,2,0.5543865091871742,0.9847227610571964,0.6261044763932858,0.05337804054537787
0,3,0.5530386564716085,0.35913904477896486,0.8551790487556621,0.5068190987297981
0,4,0.5692479101219551,0.7032006008477307,0.9251949241771664,0.4895511435723079
0,5,0.5601597273049934,0.7817440398639548,0.08092215555898641,0.7604155658923102
0,6,0.5598429884064484,0.3982800629320181,0.560824429111848,0.6611667494665109
0,7,0.5744221525248405,0.21090657319862732,0.7339084484965377,0.770203246014536
0,8,0.5882558920209462,0.2238211802965076,0.3750327189219097,0.6469349876173418
0,9,0.5600207647689868,0.31294637509188883,0.8209483726041387,0.42361690574426175
1,0,0.5453019853670851,0.7087811329959763,0.8688239113626154,0.028992869244435615
1,1,0.5748326328262711,0.10205006455616067,0.23896514644243805,0.8201418454924414
1,2,0.5655502928997511,0.09060477332899652,0.7411294402515467,0.09277146023938254
1,3,0.567319453652771,0.209130412085284,0.7408078022470695,0.7335842734476536
1,4,0.5834685976333608,0.11141114407268055,0.7111330888195869,0.4787192578814939
1,5,0.546015813875773,0.8901473614041756,0.27926441310839173,0.7883821328993007
1,6,0.5635860533019705,0.5018237074890904,0.32271292513166056,0.4798185706965504
1,7,0.5773388573408273,0.24220117330817714,0.573551690060841,0.6056986172368162
1,8,0.533239986785646,0.9176437817771403,0.13831024824467741,0.9127899124725339
1,9,0.5528770279288108,0.6536133497429999,0.1615049269287926,0.9413446491541771
2,0,0.5590099673785227,0.7751536494319358,0.36212139899583273,0.6609633743528738
2,1,0.5814868941114671,0.12483885313815513,0.9903456941651823,0.51351936246461
2,2,0.5781468471214489,0.9029752313967395,0.9417767393171393,0.9287109637108002
2,3,0.5633865797947836,0.4642771639808159,0.43444723662676865,0.6600919790612126
2,4,0.5615138366343195,0.7859105673242553,0.35845533997257184,0.5441986152900018
2,5,0.574923354169018,0.9706729783892374,0.5205886112358576,0.8055455598743684
2,6,0.569753292568811,0.6017503732385507,0.12299551191023231,0.9379890092077732
2,7,0.574456884651618,0.8330587346200001,0.3279756958541835,0.8568594818679527
2,8,0.5495906400276874,0.4916356814576752,0.8650110484106686,0.47017307080720117
2,9,0.5626280249736132,0.4936750384602798,0.4427171294572996,0.44970547274632633
0,0,0.5700254096795838,0.2570914694946633,0.7854543125637112,0.1730094957224721
0,1,0.5729800475300311,0.7886691204049541,0.8083825940506277,0.4125124587646107
0,2,0.5543865091871742,0.9847227610571964,0.6261044763932858,0.05337804054537787
0,3,0.5530386564716085,0.35913904477896486,0.8551790487556621,0.5068190987297981
0,4,0.5692479101219551,0.7032006008477307,0.9251949241771664,0.4895511435723079
0,5,0.5601597273049934,0.7817440398639548,0.08092215555898641,0.7604155658923102
0,6,0.5598429884064484,0.3982800629320181,0.560824429111848,0.6611667494665109
